PS2	2000	39.11
PS2	2001	164.59
PS2	2002	205.4
PS2	2003	184.29
PS2	2004	211.78
PS2	2005	159.76
PS2	2006	103.42
PS2	2007	75.96
PS2	2008	53.83
PS2	2009	26.45
PS2	2010	5.63
PS2	2011	0.47
PS3	2006	21.07
PS3	2007	73.81
PS3	2008	119.48
PS3	2009	132.34
PS3	2010	144.25
PS3	2011	158.55
PS3	2012	109.45
PS3	2013	117.39
PS3	2014	50.96
PS3	2015	18.22
PS3	2016	2.49
X360	2005	8.32
X360	2006	51.88
X360	2007	95.84
X360	2008	135.76
X360	2009	120.85
X360	2010	170.93
X360	2011	144.34
X360	2012	100.88
X360	2013	89.61
X360	2014	36.41
X360	2015	13.05
X360	2016	0.83
